Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Soil_pH,Soil_Moisture,Crop,Yield
90,42,43,20.87974371,82.00274423,6.502985292,62.51021155,Rice,4.015334582270948
85,58,41,21.77046169,80.31964408,7.038096361,69.32630385,Rice,4.567614389106161
60,55,44,23.00445915,82.3207629,7.840207144,80.04719759,Rice,4.185705491351063
74,35,40,26.49109635,80.15836264,6.980400905,73.98391787,Rice,4.347527008745059
78,42,42,20.13017482,81.60487287,7.628472891,79.68889095,Rice,2.925720040060116
69,37,42,23.05804872,83.37011772,7.073453503,76.33764362,Rice,4.223239559929869
69,55,38,22.70883798,82.63941394,5.70080568,82.16231621,Rice,4.332235093905606
94,53,40,20.27774362,82.89408619,5.718627178,73.72821693,Rice,3.516470211492925
89,54,38,24.51588066,83.5352163,6.685346424,70.41558503,Rice,5.610935679296454
68,58,38,23.22397386,83.03322691,6.336253525,67.76126316,Rice,4.863971171068729
91,53,40,26.52723513,81.41753846,5.386167788,80.23415796,Rice,4.997635094229961
90,46,42,23.97898217,81.45061596,7.50283396,76.05840046,Rice,5.0675048148409
78,58,44,26.80079604,80.88684822,5.108681786,85.93001629,Rice,4.78486903264962
93,56,36,24.01497622,82.05687182,6.98435366,57.43601693,Rice,5.36200936502405
94,50,37,25.66585205,80.66385045,6.94801983,64.42154333,Rice,5.361025452702948
60,48,39,24.28209415,80.30025587,7.042299069,70.59952147,Rice,4.481294499809734
85,38,41,21.58711777,82.7883708,6.249050656,83.69403618,Rice,4.04935017899095
91,35,39,23.79391957,80.41817957,6.970859754,63.4658579,Rice,4.72474104781393
77,38,36,21.8652524,80.1923008,5.953933276,68.72270601,Rice,3.701747882781249
88,35,40,23.57943626,83.58760316,5.85393208,87.90191431,Rice,4.585923748540603
89,45,36,21.32504158,80.47476396,6.442475375,57.49927391,Rice,4.033302990274168
76,40,43,25.15745531,83.11713476,5.070175667,70.68514836,Rice,4.463358127696722
67,59,41,21.94766735,80.97384195,6.012632591,65.50462417,Rice,4.288297435036802
83,41,43,21.0525355,82.67839517,6.254028451,71.18033954,Rice,3.8820670997431024
98,47,37,23.48381344,81.33265073,7.375482851,68.57991851,Rice,4.916996549079236
66,53,41,25.0756354,80.52389148,7.778915154,78.04709382,Rice,4.577408340874279
97,59,43,26.35927159,84.04403589,6.286500176,82.17201543,Rice,6.025708143045682
97,50,41,24.52922681,80.54498576,7.070959995,78.98373638,Rice,5.62270287460834
60,49,44,20.77576147,84.49774397,6.244841491,73.18421399,Rice,3.455817937460288
84,51,35,22.30157427,80.64416466,6.043304899,61.08595445,Rice,4.397876177105887
73,57,41,21.44653958,84.94375962,5.824709117,82.41428747,Rice,4.044763255424306
92,35,40,22.17931888,80.33127223,6.357389366,61.69203411,Rice,4.355004065799563
85,37,39,24.52783742,82.73685569,6.364134968,68.7573917,Rice,4.989961503874341
98,53,38,20.26707606,81.63895217,5.01450727,81.90854236,Rice,3.216491830889411
88,54,44,25.7354293,83.88266234,6.149410611,71.18739575,Rice,5.810189812720038
95,55,42,26.79533926,82.1480873,5.950660556,59.75499963,Rice,5.45945564442506
99,57,35,26.75754171,81.17734011,5.960370061,82.44250161,Rice,5.184106008195576
95,39,36,23.86330467,83.15250801,5.561398642,86.16361049,Rice,4.591601440087201
60,43,44,21.01944696,82.95221726,7.416245107,89.94305951,Rice,3.2245153117738528
63,44,41,24.17298839,83.7287574,5.583370042,78.05584925,Rice,4.364164890136353
62,42,36,22.78133816,82.06719137,6.430010215,75.66618471,Rice,4.050179956955896
64,45,43,25.62980105,83.52842314,5.534878156,64.51155106,Rice,4.512741343133759
83,60,36,25.59704938,80.14509262,6.903985986,61.90657989,Rice,5.348276981888477
82,40,40,23.83067496,84.81360127,6.271478838,89.98853951,Rice,4.95350872294617
85,52,45,26.31355498,82.36698992,7.224285503,80.49873382,Rice,5.380769235995476
91,35,38,24.8972823,80.52586088,6.13428721,56.97681629,Rice,4.859058561317963
76,49,42,24.958779,84.47963372,5.206373153,60.79195425,Rice,4.782668735437411
74,39,38,23.24113501,84.59201843,7.782051313,71.1624556,Rice,3.9741214702157017
79,43,39,21.66628296,80.70960551,7.062779015,64.7741979,Rice,3.925935318822804
88,55,45,24.63544858,80.41363018,7.730367824,77.10352819,Rice,5.400086375440905
60,36,43,23.43121862,83.06310136,5.286203711,67.38644681,Rice,3.799778897352985
76,60,39,20.0454142,80.3477562,6.766240045,64.13247572,Rice,3.349758828886954
93,56,42,23.85724032,82.22572988,7.382762603,60.25713537,Rice,5.4586301355425215
65,60,43,21.97199397,81.89918197,5.658169482,69.52979911,Rice,4.18751354758499
95,52,36,26.22916897,83.83625819,5.543360238,86.5253944,Rice,4.984963506063411
75,38,39,23.44676801,84.79352417,6.215109715,85.7855881,Rice,4.52766818328938
74,54,38,25.65553461,83.47021081,7.120272972,66.66059147,Rice,4.977393537420763
91,36,45,24.44345477,82.45432595,5.950647577,81.20005598,Rice,5.145734807955383
71,46,40,20.2801937,82.1235421,7.236705436,59.35447523,Rice,3.048037715125804
99,55,35,21.7238313,80.2389895,6.501697816,84.06971816,Rice,4.658401569539556
72,40,38,20.41447029,82.20802629,7.592490617,74.64112943,Rice,2.8297271273637663
83,58,45,25.75528612,83.51827127,5.875345751,74.78812641,Rice,5.6782878767409874
93,58,38,20.61521424,83.77345559,6.932400225,84.52447463,Rice,3.874366624641032
70,36,42,21.84106875,80.72886384,6.946209881,62.35167583,Rice,3.763865064959596
76,47,42,20.08369642,83.29114712,5.739175027,79.95322345,Rice,3.0948899763779325
99,41,36,24.45802087,82.74835604,6.738652179,56.65564135,Rice,5.195543803650674
99,54,37,21.14347496,80.33502926,5.594819626,61.2853719,Rice,3.976526478396126
86,59,35,25.78720567,82.11124033,6.946636369,74.17012684,Rice,5.279280885682627
69,46,41,23.64124821,80.28597873,5.012139669,79.80181908,Rice,4.213172028050584
91,56,37,23.43191632,80.56887849,6.363472208,81.63905638,Rice,5.4273925150834375
61,52,41,24.97669518,83.891805,6.880431223,63.04603009,Rice,4.847955758366032
67,45,38,22.72791041,82.1706881,7.300410836,79.16307632,Rice,4.045248217549573
79,42,37,24.87300744,82.84022551,6.587918708,89.14064632,Rice,4.997509844944703
78,43,42,21.32376327,83.00320459,7.283736617,59.45969931,Rice,3.7514397525743086
75,54,36,26.29465461,84.56919326,7.023936392,78.18720994,Rice,4.81590591233012
97,36,45,22.2286982,81.85872947,6.939083505,84.10321244,Rice,4.593516323349507
67,47,44,26.73072391,81.78596776,7.868474653,84.77139057,Rice,4.274124063423017
73,35,38,24.88921174,81.97927117,5.005306977,57.62820198,Rice,3.944795417423976
77,36,37,26.88444878,81.46033732,6.136131869,60.10823445,Rice,4.247241757798602
81,41,38,22.67846116,83.72874389,7.524080076,61.92911368,Rice,4.115115607271303
68,57,43,26.08867875,80.37979919,5.706943251,56.75412368,Rice,4.965829689781192
72,45,35,25.42977518,82.94682591,5.758506323,60.33260178,Rice,4.461598716909504
61,53,43,26.40323239,81.05635517,6.349606327,68.38137595,Rice,4.895078858124651
67,43,39,26.04371967,84.96907151,5.999969026,57.8602521,Rice,4.513811422736813
67,58,39,25.2827223,80.54372813,5.453592032,67.44703184,Rice,4.732137574744447
66,60,38,22.08576562,83.47038318,6.372576327,70.78634934,Rice,4.369958953321585
82,43,38,23.28617173,81.43321641,5.105588355,73.82674221,Rice,4.230248960014449
84,50,44,25.48591986,81.40633547,5.935344406,56.68245276,Rice,5.495235227254955
81,53,42,23.67575393,81.03569343,5.17782304,71.35157974,Rice,4.826882930411206
91,50,40,20.82477109,84.1341879,6.462391607,70.35178802,Rice,4.073666142808659
93,53,38,26.92995077,81.91411159,7.069172227,87.72395928,Rice,5.084630077740624
90,44,38,23.83509503,83.88387074,7.473134377,73.50613543,Rice,4.773762059124575
81,45,35,26.52872817,80.12267476,6.158376967,67.10240135,Rice,4.672840586624234
78,40,38,26.46428311,83.85642678,7.549873681,75.52461181,Rice,4.283133863311356
60,51,36,22.69657794,82.81088865,6.028321558,78.0449644,Rice,4.029902223899683
88,46,42,22.68319059,83.46358271,6.604993475,60.01872756,Rice,5.065775825811203
93,47,37,21.53346343,82.14004101,6.500343222,89.23128724,Rice,4.361269623643032
60,55,45,21.40865769,83.3293191,5.935745417,86.83238319,Rice,3.851534617903491
78,35,44,26.54348085,84.67353597,7.072655622,56.96042118,Rice,4.555425597468152
65,37,40,23.35905428,83.59512273,5.333322606,58.33726006,Rice,3.857500798610936
71,54,16,22.61359953,63.69070564,5.749914421,29.41366051,Maize,5.760462397295576
61,44,17,26.10018422,71.57476937,6.931756558,33.58225417,Maize,5.986758850763379
80,43,16,23.55882094,71.59351368,6.657964753,23.36780307,Maize,6.4494531341922965
73,58,21,19.97215954,57.68272924,6.596060648,21.62405598,Maize,5.07116063033818
61,38,20,18.47891261,62.69503871,5.970458434,22.99952699,Maize,2.723942177079763
68,41,16,21.77689322,57.80840636,6.158830619,33.53050845,Maize,4.958752161563994
93,41,17,25.6217169,66.50415474,6.047906679,34.50157193,Maize,7.027982651453884
89,60,19,25.19192419,66.6902901,5.913664501,26.62827485,Maize,8.20045344368918
76,44,17,20.41683147,62.5542482,5.855442401,22.95344384,Maize,4.309621546699733
67,60,25,24.92162194,66.78627406,5.750254943,35.57937583,Maize,8.473257676353414
70,44,19,23.31689124,73.4541537,5.852607099,31.29227822,Maize,6.442900574494011
90,49,21,24.84016732,68.3584573,6.472523287,25.47550269,Maize,8.768314190822034
62,52,16,22.27526694,58.84015925,6.967057762,22.54890972,Maize,5.341005633003148
92,44,16,18.87751445,65.76816093,6.082973754,31.4258317,Maize,3.289029449296385
66,54,21,25.19008683,60.2001687,5.919045532,24.92061946,Maize,7.528674962689613
63,58,22,18.25405352,55.28220433,6.204747653,22.5067763,Maize,3.201764783964031
70,47,17,24.6129118,70.4162444,6.600827017,34.12718813,Maize,6.853019627182231
61,41,17,25.1420613,65.26185135,6.021902237,26.23119542,Maize,5.952567469590102
66,53,19,23.09348056,60.1159381,6.033550195,23.01646761,Maize,6.638213316541735
74,55,19,18.05033737,62.89366992,6.28886807,28.40118817,Maize,2.961756429200024
77,57,21,24.9321581,73.80435276,6.550563823,27.10942161,Maize,8.609056352601709
99,50,15,18.14710054,71.09445342,5.573286437,29.50503949,Maize,2.6293877465904005
74,56,22,18.28362235,66.65952796,6.829199275,27.46429104,Maize,3.4180325851168663
83,45,21,18.83344471,58.75082029,5.716222912,27.11301425,Maize,3.58849113357617
100,48,16,25.71895816,67.22190688,5.54990242,25.60773216,Maize,6.861222758174143
79,51,16,25.33797709,68.49835977,6.586244581,31.91488567,Maize,7.096302630121891
